ID,name,genre,game_details,popular_tags,publisher,developer,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
nancydrewlasttraintobluemooncanyon,Nancy Drew®: Last Train to Blue Moon Canyon,Adventure,Single-player,"Adventure,Point&Click,Mystery,FemaleProtagonist,Puzzle,Detective","HeRInteractive,HeRInteractive",HeRInteractive,"AdventureHeRInteractive,HeRInteractiveHeRInteractive","AdventureAdventure,Point&Click,Mystery,FemaleProtagonist,Puzzle,DetectiveHeRInteractive","AdventureAdventure,Point&Click,Mystery,FemaleProtagonist,Puzzle,DetectiveSingle-player","AdventureHeRInteractive,HeRInteractiveHeRInteractiveSingle-player"
themeangreensplasticwarfare,The Mean Greens - Plastic Warfare,"Action,Indie","Multi-player,OnlineMulti-Player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,ValveAnti-Cheatenabled","Action,Multiplayer,Third-PersonShooter,Shooter,Funny,Indie,GreatSoundtrack,Colorful,First-Person,Co-op,OnlineCo-Op,Fast-Paced,Casual,Singleplayer,FPS","VirtualBasementLLC,VirtualBasementLLC","VirtualBasementLLC,CodeHeadquartersLLC","Action,IndieVirtualBasementLLC,VirtualBasementLLCVirtualBasementLLC,CodeHeadquartersLLC","Action,IndieAction,Multiplayer,Third-PersonShooter,Shooter,Funny,Indie,GreatSoundtrack,Colorful,First-Person,Co-op,OnlineCo-Op,Fast-Paced,Casual,Singleplayer,FPSVirtualBasementLLC,CodeHeadquartersLLC","Action,IndieAction,Multiplayer,Third-PersonShooter,Shooter,Funny,Indie,GreatSoundtrack,Colorful,First-Person,Co-op,OnlineCo-Op,Fast-Paced,Casual,Singleplayer,FPSMulti-player,OnlineMulti-Player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,ValveAnti-Cheatenabled","Action,IndieVirtualBasementLLC,VirtualBasementLLCVirtualBasementLLC,CodeHeadquartersLLCMulti-player,OnlineMulti-Player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,ValveAnti-Cheatenabled"
steelocean,Steel Ocean,"FreetoPlay,MassivelyMultiplayer,Simulation","Multi-player,MMO,Co-op","FreetoPlay,Naval,WorldWarII,MassivelyMultiplayer,Military,Simulation,War,Multiplayer,Action,Strategy,MOBA,Shooter,Tactical,Co-op,Adventure,Survival,First-Person,Singleplayer,Sandbox,OpenWorld","Changyou.comLimited,Changyou.comLimited",ICEEntertainment,"FreetoPlay,MassivelyMultiplayer,SimulationChangyou.comLimited,Changyou.comLimitedICEEntertainment","FreetoPlay,MassivelyMultiplayer,SimulationFreetoPlay,Naval,WorldWarII,MassivelyMultiplayer,Military,Simulation,War,Multiplayer,Action,Strategy,MOBA,Shooter,Tactical,Co-op,Adventure,Survival,First-Person,Singleplayer,Sandbox,OpenWorldICEEntertainment","FreetoPlay,MassivelyMultiplayer,SimulationFreetoPlay,Naval,WorldWarII,MassivelyMultiplayer,Military,Simulation,War,Multiplayer,Action,Strategy,MOBA,Shooter,Tactical,Co-op,Adventure,Survival,First-Person,Singleplayer,Sandbox,OpenWorldMulti-player,MMO,Co-op","FreetoPlay,MassivelyMultiplayer,SimulationChangyou.comLimited,Changyou.comLimitedICEEntertainmentMulti-player,MMO,Co-op"
darkesthoureurope4445,Darkest Hour: Europe '44-'45,"Action,Simulation","Multi-player,OnlineMulti-Player,Mods,PartialControllerSupport,Includesleveleditor","WorldWarII,FPS,Action,Multiplayer,War,Shooter,Realistic,Tactical,Simulation,FreetoPlay,Mod,Team-Based,Historical,Strategy,First-Person","DarklightGames,DarklightGames",DarklightGames,"Action,SimulationDarklightGames,DarklightGamesDarklightGames","Action,SimulationWorldWarII,FPS,Action,Multiplayer,War,Shooter,Realistic,Tactical,Simulation,FreetoPlay,Mod,Team-Based,Historical,Strategy,First-PersonDarklightGames","Action,SimulationWorldWarII,FPS,Action,Multiplayer,War,Shooter,Realistic,Tactical,Simulation,FreetoPlay,Mod,Team-Based,Historical,Strategy,First-PersonMulti-player,OnlineMulti-Player,Mods,PartialControllerSupport,Includesleveleditor","Action,SimulationDarklightGames,DarklightGamesDarklightGamesMulti-player,OnlineMulti-Player,Mods,PartialControllerSupport,Includesleveleditor"
organtraildirectorscut,Organ Trail: Director's Cut,"Indie,Strategy","Single-player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamCloud,SteamLeaderboards","Zombies,Indie,Retro,Post-apocalyptic,Strategy,Singleplayer,PixelGraphics,Adventure,PermaDeath,Survival,2D,Simulation,RPG,Parody,GreatSoundtrack,Rogue-like,Action,Comedy,Kickstarter,Horror","TheMenWhoWearManyHats,TheMenWhoWearManyHats",TheMenWhoWearManyHats,"Indie,StrategyTheMenWhoWearManyHats,TheMenWhoWearManyHatsTheMenWhoWearManyHats","Indie,StrategyZombies,Indie,Retro,Post-apocalyptic,Strategy,Singleplayer,PixelGraphics,Adventure,PermaDeath,Survival,2D,Simulation,RPG,Parody,GreatSoundtrack,Rogue-like,Action,Comedy,Kickstarter,HorrorTheMenWhoWearManyHats","Indie,StrategyZombies,Indie,Retro,Post-apocalyptic,Strategy,Singleplayer,PixelGraphics,Adventure,PermaDeath,Survival,2D,Simulation,RPG,Parody,GreatSoundtrack,Rogue-like,Action,Comedy,Kickstarter,HorrorSingle-player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamCloud,SteamLeaderboards","Indie,StrategyTheMenWhoWearManyHats,TheMenWhoWearManyHatsTheMenWhoWearManyHatsSingle-player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamCloud,SteamLeaderboards"
trackmaniacanyon,TrackMania² Canyon,"Racing,Sports","Single-player,Multi-player,SteamWorkshop,PartialControllerSupport,Includesleveleditor","Racing,Multiplayer,LevelEditor,TimeAttack,Sports,Arcade,Singleplayer,LocalMultiplayer,Controller,SplitScreen,Driving,Action,FreetoPlay","Ubisoft,Ubisoft",Nadeo,"Racing,SportsUbisoft,UbisoftNadeo","Racing,SportsRacing,Multiplayer,LevelEditor,TimeAttack,Sports,Arcade,Singleplayer,LocalMultiplayer,Controller,SplitScreen,Driving,Action,FreetoPlayNadeo","Racing,SportsRacing,Multiplayer,LevelEditor,TimeAttack,Sports,Arcade,Singleplayer,LocalMultiplayer,Controller,SplitScreen,Driving,Action,FreetoPlaySingle-player,Multi-player,SteamWorkshop,PartialControllerSupport,Includesleveleditor","Racing,SportsUbisoft,UbisoftNadeoSingle-player,Multi-player,SteamWorkshop,PartialControllerSupport,Includesleveleditor"
frozensynapse,Frozen Synapse,"Indie,Strategy","Single-player,Multi-player,SteamAchievements,SteamTradingCards,SteamTurnNotifications","Strategy,Turn-Based,Tactical,Indie,AsynchronousMultiplayer,GreatSoundtrack,Cyberpunk,Multiplayer,Turn-BasedStrategy,Sci-fi,Top-Down,Competitive,Singleplayer,Addictive,Chess,Difficult,Co-op,Masterpiece,ReplayValue,LocalMultiplayer","Mode7,Mode7",Mode7,"Indie,StrategyMode7,Mode7Mode7","Indie,StrategyStrategy,Turn-Based,Tactical,Indie,AsynchronousMultiplayer,GreatSoundtrack,Cyberpunk,Multiplayer,Turn-BasedStrategy,Sci-fi,Top-Down,Competitive,Singleplayer,Addictive,Chess,Difficult,Co-op,Masterpiece,ReplayValue,LocalMultiplayerMode7","Indie,StrategyStrategy,Turn-Based,Tactical,Indie,AsynchronousMultiplayer,GreatSoundtrack,Cyberpunk,Multiplayer,Turn-BasedStrategy,Sci-fi,Top-Down,Competitive,Singleplayer,Addictive,Chess,Difficult,Co-op,Masterpiece,ReplayValue,LocalMultiplayerSingle-player,Multi-player,SteamAchievements,SteamTradingCards,SteamTurnNotifications","Indie,StrategyMode7,Mode7Mode7Single-player,Multi-player,SteamAchievements,SteamTradingCards,SteamTurnNotifications"
theimpossiblegame,The Impossible Game,Indie,"Single-player,SteamAchievements,Fullcontrollersupport,SteamCloud,Includesleveleditor","Indie,GreatSoundtrack,Difficult,Platformer,LevelEditor,Music,Casual,2D,Addictive,Singleplayer,Masterpiece,Rhythm","FlukeDude,FlukeDude",GripGames,"IndieFlukeDude,FlukeDudeGripGames","IndieIndie,GreatSoundtrack,Difficult,Platformer,LevelEditor,Music,Casual,2D,Addictive,Singleplayer,Masterpiece,RhythmGripGames","IndieIndie,GreatSoundtrack,Difficult,Platformer,LevelEditor,Music,Casual,2D,Addictive,Singleplayer,Masterpiece,RhythmSingle-player,SteamAchievements,Fullcontrollersupport,SteamCloud,Includesleveleditor","IndieFlukeDude,FlukeDudeGripGamesSingle-player,SteamAchievements,Fullcontrollersupport,SteamCloud,Includesleveleditor"
salt,Salt,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Co-op,SteamAchievements,SteamTradingCards,PartialControllerSupport,SteamCloud","OpenWorld,Survival,Adventure,Crafting,Exploration,Sandbox,Pirates,Multiplayer,First-Person,Singleplayer,Indie,Action,RPG,Sailing,Naval,ProceduralGeneration,EarlyAccess,Atmospheric,WalkingSimulator,Relaxing","LavabootsStudios,LavabootsStudios",LavabootsStudios,"Action,Adventure,Indie,RPGLavabootsStudios,LavabootsStudiosLavabootsStudios","Action,Adventure,Indie,RPGOpenWorld,Survival,Adventure,Crafting,Exploration,Sandbox,Pirates,Multiplayer,First-Person,Singleplayer,Indie,Action,RPG,Sailing,Naval,ProceduralGeneration,EarlyAccess,Atmospheric,WalkingSimulator,RelaxingLavabootsStudios","Action,Adventure,Indie,RPGOpenWorld,Survival,Adventure,Crafting,Exploration,Sandbox,Pirates,Multiplayer,First-Person,Singleplayer,Indie,Action,RPG,Sailing,Naval,ProceduralGeneration,EarlyAccess,Atmospheric,WalkingSimulator,RelaxingSingle-player,Multi-player,Co-op,SteamAchievements,SteamTradingCards,PartialControllerSupport,SteamCloud","Action,Adventure,Indie,RPGLavabootsStudios,LavabootsStudiosLavabootsStudiosSingle-player,Multi-player,Co-op,SteamAchievements,SteamTradingCards,PartialControllerSupport,SteamCloud"
archeage,ArcheAge,"FreetoPlay,MassivelyMultiplayer,RPG","Multi-player,MMO,SteamTradingCards,In-AppPurchases","MassivelyMultiplayer,FreetoPlay,MMORPG,OpenWorld,RPG,Sandbox,Fantasy,Adventure,PvP,Multiplayer,PvE,Action,Pirates,Exploration,Crafting,Nudity,WalkingSimulator,ThirdPerson,Beautiful,EarlyAccess","TrionWorlds,TrionWorlds",XLGAMES,"FreetoPlay,MassivelyMultiplayer,RPGTrionWorlds,TrionWorldsXLGAMES","FreetoPlay,MassivelyMultiplayer,RPGMassivelyMultiplayer,FreetoPlay,MMORPG,OpenWorld,RPG,Sandbox,Fantasy,Adventure,PvP,Multiplayer,PvE,Action,Pirates,Exploration,Crafting,Nudity,WalkingSimulator,ThirdPerson,Beautiful,EarlyAccessXLGAMES","FreetoPlay,MassivelyMultiplayer,RPGMassivelyMultiplayer,FreetoPlay,MMORPG,OpenWorld,RPG,Sandbox,Fantasy,Adventure,PvP,Multiplayer,PvE,Action,Pirates,Exploration,Crafting,Nudity,WalkingSimulator,ThirdPerson,Beautiful,EarlyAccessMulti-player,MMO,SteamTradingCards,In-AppPurchases","FreetoPlay,MassivelyMultiplayer,RPGTrionWorlds,TrionWorldsXLGAMESMulti-player,MMO,SteamTradingCards,In-AppPurchases"
